item_id,main_text,country_name,retailer_pg,mdm_brand_text,mdm_model_text
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
101261697,ESS ILIKIA XTRA FIT ORMIX 16,SPAIN,CRISTALES,ESSILOR,VARILUX ILIKIA XTRA ORMIX FORTE UV
101261697,ESS ILIKIA XTRA FIT ORMIX 16,SPAIN,CRISTALES,ESSILOR,VARILUX ILIKIA XTRA ORMIX FORTE UV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
138176095,"CRISTALES ID1.60LIFESTL3URBAN(RX)/PROGRESIVOS/ORGANICO/1,600/HVLL BC,/SIN COLOR",SPAIN,LENTES OFTALMICAS,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3URBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
88210952,HILUX 1.60 EYAS (RX),SPAIN,CRISTALES,HOYA,HILUX EYAS 1.6 HI VISION
88210952,HILUX 1.60 EYAS (RX),SPAIN,CRISTALES,HOYA,HILUX EYAS 1.6 HI VISION
88210952,HILUX 1.60 EYAS 75 BASE 6,SPAIN,CRISTALES,HOYA,HILUX EYAS 1.6 HI VISION
88210952,HILUX 1.60 EYAS 75 BASE 6,SPAIN,CRISTALES,HOYA,HILUX EYAS 1.6 HI VISION
138176095,ID1.60LIFESTL3INDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.67LIFESTL3IINDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.67LIFESTL3IINDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3URBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3INDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IINDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IOUTDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
112904161,NL1.50ACTIVE088TRUEFORM(RX),SPAIN,CRISTALES,HOYA,NULUX ACTIVE TF 1.50 HV
112904161,NL1.50ACTIVE053TRUEFORM(RX),SPAIN,CRISTALES,HOYA,NULUX ACTIVE TF 1.50 HV
138176095,ID1.60LIFESTL3IINDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IOUTDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
88210952,HILUX 1.60 EYAS (RX),SPAIN,CRISTALES,HOYA,HILUX EYAS 1.6 HI VISION
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
138176095,"CRISTALES LIFESTYLE 3I 1.6 HVL/PROGRESIVOS/ORGANICO/1,500//SIN COLOR",SPAIN,LENTES OFTALMICAS,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
112904161,NL1.50ACTIVE088TRUEFORM(RX),SPAIN,CRISTALES,HOYA,NULUX ACTIVE TF 1.50 HV
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3INDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3INDOOR(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
88210952,HILUX 1.60 EYAS (RX),SPAIN,CRISTALES,HOYA,HILUX EYAS 1.6 HI VISION
140544215,"BALANSIS 1,6",SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
86804350,"CRISTALES ID LS V+ 1.67 CLARITY P11/PROGRESIVOS/ORGANICO/1,670//SIN COLOR",SPAIN,LENTES OFTALMICAS,HOYA,HOYALUX ID LIFESTYLE V+ CLARITY EYNOA 1.67 HI-VISION LONGLIFE
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
138176095,ID1.60LIFESTL3IURBAN(RX),SPAIN,CRISTALES,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
140544215,BALANSIS 1.60 (RX),SPAIN,CRISTALES,HOYA,BALANSIS 1.6 HV
112904161,NL1.50ACTIVE088TRUEFORM(RX),SPAIN,CRISTALES,HOYA,NULUX ACTIVE TF 1.50 HV
112904161,NL1.50ACTIVE088TRUEFORM(RX),SPAIN,CRISTALES,HOYA,NULUX ACTIVE TF 1.50 HV
138176095,"CRISTALES ID1.60LIFESTL3IOUTDOOR(RX)/PROGRESIVOS/ORGANICO/1,600/HV SOLAR,/SIN COLOR",SPAIN,LENTES OFTALMICAS,HOYA,HOYALUX ID LIFESTYLE 3-I HVLL
112904161,"CRISTALES NULUX ACTIVE 1,1/MONOFOCAL/ORGANICO/0//SIN COLOR",SPAIN,LENTES OFTALMICAS,HOYA,NULUX ACTIVE TF 1.50 HV
112904161,"CRISTALES NL1.50ACTIVE053TRUEFORM(RX)/MONOFOCAL/ORGANICO/1,500/HVLL UVC,/SIN COLOR",SPAIN,LENTES OFTALMICAS,HOYA,NULUX ACTIVE TF 1.50 HV
112904161,NL1.50ACTIVE053TRUEFORM(RX),SPAIN,CRISTALES,HOYA,NULUX ACTIVE TF 1.50 HV
88210952,HILUX 1.60 EYAS (RX),SPAIN,CRISTALES,HOYA,HILUX EYAS 1.6 HI VISION
88210952,HILUX 1.60 EYAS (RX),SPAIN,CRISTALES,HOYA,HILUX EYAS 1.6 HI VISION
112904161,NL1.50ACTIVE053TRUEFORM(RX),SPAIN,CRISTALES,HOYA,NULUX ACTIVE TF 1.50 HV
